0,AIOneName,AIOneDiff,AITwoName,AITwoDiff,WhoWentFirst,WinnerName,WinnerDiff,WinnerSymbol
83,AI_1,2,AI_2,0,1,AI_2,0,O
84,AI_1,0,AI_2,0,1,AI_2,0,O
85,AI_1,2,AI_2,2,0,TIE,N/A,N/A
86,AI_1,1,AI_2,1,1,AI_1,1,X
87,AI_1,2,AI_2,1,0,TIE,N/A,N/A
88,AI_1,0,AI_2,0,1,AI_2,0,O
89,AI_1,2,AI_2,2,0,TIE,N/A,N/A
90,AI_1,1,AI_2,1,1,TIE,N/A,N/A
91,AI_1,2,AI_2,2,1,AI_2,2,O
92,AI_1,2,AI_2,0,1,AI_1,2,X
93,AI_1,2,AI_2,1,1,TIE,N/A,N/A
94,AI_1,0,AI_2,2,0,TIE,N/A,N/A
95,AI_1,2,AI_2,0,0,AI_1,2,X
96,AI_1,2,AI_2,0,1,AI_1,2,X
97,AI_1,1,AI_2,1,1,AI_1,1,X
98,AI_1,0,AI_2,1,0,TIE,N/A,N/A
99,AI_1,1,AI_2,1,1,AI_1,1,X
100,AI_1,1,AI_2,2,1,AI_2,2,O
101,AI_1,0,AI_2,1,0,TIE,N/A,N/A
102,AI_1,1,AI_2,2,1,AI_2,2,O
103,AI_1,0,AI_2,1,1,TIE,N/A,N/A
104,AI_1,2,AI_2,0,0,AI_2,0,O
105,AI_1,0,AI_2,2,0,TIE,N/A,N/A
106,AI_1,2,AI_2,1,0,TIE,N/A,N/A
107,AI_1,1,AI_2,1,0,TIE,N/A,N/A
108,AI_1,2,AI_2,0,0,AI_1,2,X
109,AI_1,1,AI_2,1,0,TIE,N/A,N/A
110,AI_1,2,AI_2,1,1,TIE,N/A,N/A
111,AI_1,2,AI_2,1,1,TIE,N/A,N/A
112,AI_1,1,AI_2,1,0,TIE,N/A,N/A
113,AI_1,0,AI_2,2,0,TIE,N/A,N/A
114,AI_1,2,AI_2,0,1,AI_1,2,X
115,AI_1,0,AI_2,0,0,AI_1,0,X
116,AI_1,2,AI_2,1,1,TIE,N/A,N/A
117,AI_1,2,AI_2,0,0,AI_1,2,X
118,AI_1,0,AI_2,2,1,AI_2,2,O
119,AI_1,2,AI_2,0,0,AI_1,2,X
120,AI_1,2,AI_2,0,0,AI_1,2,X
121,AI_1,1,AI_2,0,0,AI_1,1,X
122,AI_1,2,AI_2,2,0,TIE,N/A,N/A
123,AI_1,2,AI_2,0,1,AI_2,0,O
124,AI_1,2,AI_2,1,1,TIE,N/A,N/A
125,AI_1,0,AI_2,2,0,TIE,N/A,N/A
126,AI_1,1,AI_2,2,0,TIE,N/A,N/A
127,AI_1,2,AI_2,2,1,AI_2,2,O
128,AI_1,2,AI_2,0,1,AI_2,0,O
129,AI_1,1,AI_2,2,0,TIE,N/A,N/A
130,AI_1,2,AI_2,1,0,TIE,N/A,N/A
131,AI_1,2,AI_2,2,1,AI_2,2,O
132,AI_1,0,AI_2,0,1,AI_1,0,X
133,AI_1,1,AI_2,1,1,TIE,N/A,N/A
134,AI_1,0,AI_2,0,0,AI_2,0,O
135,AI_1,0,AI_2,2,1,AI_2,2,O
136,AI_1,2,AI_2,0,1,AI_2,0,O
137,AI_1,2,AI_2,2,0,TIE,N/A,N/A
138,AI_1,0,AI_2,2,0,TIE,N/A,N/A
139,AI_1,2,AI_2,1,1,TIE,N/A,N/A
140,AI_1,2,AI_2,1,0,TIE,N/A,N/A
141,AI_1,1,AI_2,2,0,TIE,N/A,N/A
142,AI_1,0,AI_2,0,0,AI_1,0,X
143,AI_1,2,AI_2,1,1,TIE,N/A,N/A
144,AI_1,0,AI_2,0,1,AI_1,0,X
145,AI_1,2,AI_2,1,1,TIE,N/A,N/A
146,AI_1,2,AI_2,1,0,TIE,N/A,N/A
147,AI_1,0,AI_2,2,0,TIE,N/A,N/A
148,AI_1,1,AI_2,1,1,TIE,N/A,N/A
149,AI_1,2,AI_2,2,0,TIE,N/A,N/A
